Name Of Stock,Symbol
INDRAPRASTHA GAS LIMITED,IGL
THE INDIA CEMENTS LIMITED,INDIACEM
INDUSIND BANK LIMITED,INDUSINDBK
INFOSYS LIMITED,INFY
INDIAN OVERSEAS BANK,IOB
INDIAN OIL CORPORATION LIMITED,IOC
IRB INFRASTRUCTURE DEVELOPERS LIMITED,IRB
ITC LIMITED,ITC
JINDAL STEEL & POWER LIMITED,JINDALSTEL
JAIN IRRIGATION SYSTEMS LIMITED,JISLJALEQS
JAIPRAKASH ASSOCIATES LIMITED,JPASSOCIAT
JAIPRAKASH POWER VENTURES LIMITED,JPPOWER
JSW ENERGY LIMITED,JSWENERGY
JSW STEEL LIMITED,JSWSTEEL
JUBILANT FOODWORKS LIMITED,JUBLFOOD
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK
THE KARNATAKA BANK LIMITED,KTKBANK
LIC HOUSING FINANCE LIMITED,LICHSGFIN
LARSEN & TOUBRO LIMITED,LT
LUPIN LIMITED,LUPIN
MAHINDRA & MAHINDRA LIMITED,M&M
MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&MFIN
MARUTI SUZUKI INDIA LIMITED,MARUTI
UNITED SPIRITS LIMITED,MCDOWELL-N
MCLEOD RUSSEL INDIA LIMITED,MCLEODRUSS
MRF LIMITED,MRF
NHPC LIMITED,NHPC
NMDC LIMITED,NMDC
NTPC LIMITED,NTPC
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,OFSS
OIL & NATURAL GAS CORPORATION LIMITED,ONGC
ORIENTAL BANK OF COMMERCE,ORIENTBANK
PETRONET LNG LIMITED,PETRONET
POWER FINANCE CORPORATION LIMITED,PFC
PUNJAB NATIONAL BANK,PNB
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
PTC INDIA LIMITED,PTC
RANBAXY LABORATORIES LIMITED,RANBAXY
RELIANCE COMMUNICATIONS LIMITED,RCOM
RURAL ELECTRIFICATION CORPORATION LIMITED,RECLTD
RELIANCE CAPITAL LIMITED,RELCAPITAL
RELIANCE INDUSTRIES LIMITED,RELIANCE
RELIANCE INFRASTRUCTURE LIMITED,RELINFRA
RELIANCE POWER LIMITED,RPOWER
STEEL AUTHORITY OF INDIA LIMITED,SAIL
STATE BANK OF INDIA,SBIN
SIEMENS LIMITED,SIEMENS
SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,SRTRANSFIN
SESA STERLITE LIMITED,SSLT
SUN PHARMACEUTICALS INDUSTRIES LIMITED,SUNPHARMA
SUN TV NETWORK LIMITED,SUNTV
SYNDICATE BANK,SYNDIBANK
TATA CHEMICALS LIMITED,TATACHEM
TATA COMMUNICATIONS LIMITED,TATACOMM
TATA GLOBAL BEVERAGES LIMITED,TATAGLOBAL
TATA MOTORS LIMITED,TATAMOTORS
TATA MOTORS LIMITED,TATAMTRDVR
TATA POWER COMPANY LIMITED,TATAPOWER
TATA STEEL LIMITED,TATASTEEL
TATA CONSULTANCY SERVICES LIMITED,TCS
TECH MAHINDRA LIMITED,TECHM
TITAN INDUSTRIES LIMITED,TITAN
UNITED BREWERIES LIMITED,UBL
UCO BANK,UCOBANK
ULTRATECH CEMENT LIMITED,ULTRACEMCO
UNION BANK OF INDIA,UNIONBANK
UNITECH LIMITED,UNITECH
UPL LIMITED,UPL
VOLTAS LIMITED,VOLTAS
WIPRO LIMITED,WIPRO
YES BANK LIMITED,YESBANK
ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL
