,Company Name,Symbol,daily_percent%,yearly %,Industry
96,UPL Ltd.,UPL,1.63,31.14,FERTILISERS & PESTICIDES
85,Siemens Ltd.,SIEMENS,1.6099999999999999,30.759999999999998,INDUSTRIAL MANUFACTURING
75,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,1.6,30.570000000000004,CONSUMER GOODS
20,Cipla Ltd.,CIPLA,1.6,30.570000000000004,PHARMA
82,SBI Life Insurance Company Ltd.,SBILIFE,1.59,30.380000000000003,FINANCIAL SERVICES
92,Tata Consultancy Services Ltd.,TCS,1.58,30.19,IT
43,Hindustan Zinc Ltd.,HINDZINC,1.5699999999999998,29.99,METALS
93,Tech Mahindra Ltd.,TECHM,1.55,29.609999999999996,IT
21,Coal India Ltd.,COALINDIA,1.54,29.42,METALS
57,LIC Housing Finance Ltd.,LICHSGFIN,1.52,29.04,FINANCIAL SERVICES
3,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,1.5,28.660000000000004,SERVICES
29,Eicher Motors Ltd.,EICHERMOT,1.5,28.660000000000004,AUTOMOBILE
61,Marico Ltd.,MARICO,1.49,28.470000000000002,CONSUMER GOODS
95,UltraTech Cement Ltd.,ULTRACEMCO,1.48,28.28,CEMENT & CEMENT PRODUCTS
1,Aditya Birla Capital Ltd.,ABCAPITAL,1.4500000000000002,27.700000000000003,FINANCIAL SERVICES
22,Colgate Palmolive (India) Ltd.,COLPAL,1.4500000000000002,27.700000000000003,CONSUMER GOODS
6,Asian Paints Ltd.,ASIANPAINT,1.43,27.32,CONSUMER GOODS
98,Wipro Ltd.,WIPRO,1.4200000000000002,27.13,IT
16,Bosch Ltd.,BOSCHLTD,1.4200000000000002,27.13,AUTOMOBILE
50,Bharti Infratel Ltd.,INFRATEL,1.4000000000000001,26.75,TELECOM
94,Titan Company Ltd.,TITAN,1.4000000000000001,26.75,CONSUMER GOODS
23,Container Corporation of India Ltd.,CONCOR,1.39,26.56,SERVICES
67,NMDC Ltd.,NMDC,1.38,26.36,METALS
9,Bajaj Auto Ltd.,BAJAJ-AUTO,1.38,26.36,AUTOMOBILE
60,Mahindra & Mahindra Ltd.,M&M,1.38,26.36,AUTOMOBILE
100,Zee Entertainment Enterprises Ltd.,ZEEL,1.37,26.169999999999998,MEDIA & ENTERTAINMENT
59,Lupin Ltd.,LUPIN,1.37,26.169999999999998,PHARMA
72,Piramal Enterprises Ltd.,PEL,1.35,25.790000000000003,PHARMA
66,NHPC Ltd.,NHPC,1.35,25.790000000000003,ENERGY
42,Hindustan Unilever Ltd.,HINDUNILVR,1.35,25.790000000000003,CONSUMER GOODS
30,Emami Ltd.,EMAMILTD,1.34,25.6,CONSUMER GOODS
55,Kotak Mahindra Bank Ltd.,KOTAKBANK,1.3299999999999998,25.41,FINANCIAL SERVICES
34,Grasim Industries Ltd.,GRASIM,1.3299999999999998,25.41,CEMENT & CEMENT PRODUCTS
2,ACC Ltd.,ACC,1.32,25.22,CEMENT & CEMENT PRODUCTS
51,Infosys Ltd.,INFY,1.31,25.03,IT
18,Britannia Industries Ltd.,BRITANNIA,1.3,24.84,CONSUMER GOODS
0,ABB India Ltd.,ABB,1.3,24.84,INDUSTRIAL MANUFACTURING
33,Godrej Consumer Products Ltd.,GODREJCP,1.29,24.65,CONSUMER GOODS
53,I T C Ltd.,ITC,1.28,24.45,CONSUMER GOODS
58,Larsen & Toubro Ltd.,LT,1.25,23.880000000000003,CONSTRUCTION
32,General Insurance Corporation of India,GICRE,1.25,23.880000000000003,FINANCIAL SERVICES
84,Shree Cement Ltd.,SHREECEM,1.24,23.69,CEMENT & CEMENT PRODUCTS
80,Reliance Industries Ltd.,RELIANCE,1.24,23.69,ENERGY
49,IndusInd Bank Ltd.,INDUSINDBK,1.24,23.69,FINANCIAL SERVICES
65,MRF Ltd.,MRF,1.22,23.31,AUTOMOBILE
37,Housing Development Finance Corporation Ltd.,HDFC,1.0999999999999999,21.02,FINANCIAL SERVICES
25,Dabur India Ltd.,DABUR,1.0999999999999999,21.02,CONSUMER GOODS
68,NTPC Ltd.,NTPC,1.09,20.82,ENERGY
39,Hero MotoCorp Ltd.,HEROMOTOCO,1.0699999999999998,20.44,AUTOMOBILE
62,Maruti Suzuki India Ltd.,MARUTI,1.02,19.49,AUTOMOBILE
78,Power Grid Corporation of India Ltd.,POWERGRID,0.89,17.0,ENERGY
38,HDFC Bank Ltd.,HDFCBANK,0.8500000000000001,16.24,FINANCIAL SERVICES
